类型,1000w,500w,200w,100w,10w,1w,1k,0k,游戏总数,玩家总数
竞猜与字谜,1,3,1,3,16,31,76,7,138,45675263
益智类,0,1,1,2,52,242,889,59,1246,42895451
棋类,0,1,1,1,15,52,68,4,142,20817036
模拟类,0,1,1,5,27,97,63,5,199,28760246
动作类,0,2,0,5,52,245,421,26,751,45808632
运动类,0,3,2,4,40,140,136,2,327,42178186
牌类,0,0,1,2,10,21,45,1,80,10287784
跑酷,0,0,2,1,13,89,200,4,309,13273560
消消乐,0,0,1,1,3,37,88,4,134,4953009
角色扮演,0,0,0,2,7,33,33,2,77,5984711
多人在线战术竞技,0,0,0,1,2,2,1,0,6,2129541
策略,0,0,0,1,6,25,50,3,85,4217262
卡牌对战,0,0,0,0,1,0,7,1,9,599750
老虎机,0,0,0,0,3,8,27,3,41,1168793
建筑类,0,0,0,0,1,12,5,1,19,841202
宾果,0,0,0,0,2,7,4,0,13,915403
扑克与桌游,0,0,0,0,6,8,21,0,35,1605170
街机类,0,0,0,0,0,1,0,0,1,17000
其他,0,0,0,0,0,1,3,1,5,28707
