类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
模拟类,179,"30,796,039","172,045",1,0,1,4,31,75,61,6
益智类,1165,"41,773,021","35,857",1,0,0,3,52,205,706,198
棋类,130,"19,440,162","149,540",0,1,1,1,15,42,67,3
动作类,682,"41,718,385","61,171",0,2,1,2,50,197,367,63
竞猜与字谜,136,"32,298,488","237,489",0,3,1,1,18,26,75,12
运动类,314,"41,512,426","132,205",0,2,2,4,45,106,149,6
牌类,77,"9,200,080","119,482",0,0,1,1,11,18,44,2
多人在线战术竞技,14,"6,921,274","494,377",0,0,1,2,3,1,6,1
消消乐,117,"5,454,818","46,622",0,0,1,1,4,33,69,9
跑酷,294,"9,278,749","31,560",0,0,0,2,14,69,183,26
角色扮演,90,"5,505,650","61,174",0,0,0,2,7,26,53,2
策略,80,"4,554,254","56,928",0,0,0,1,11,19,48,1
卡牌对战,7,"613,239","87,606",0,0,0,0,1,2,4,0
老虎机,37,"993,726","26,857",0,0,0,0,2,7,23,5
扑克与桌游,32,"1,787,284","55,853",0,0,0,0,7,7,18,0
建筑类,17,"690,256","40,603",0,0,0,0,1,11,5,0
宾果,10,"517,610","51,761",0,0,0,0,1,7,2,0
其他,6,"58,736","9,789",0,0,0,0,0,1,3,2
街机类,1,"9,388","9,388",0,0,0,0,0,0,1,0
总计,3388,"253,123,585","74,712",2,8,9,24,273,852,1884,336
