类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,3712,"302,210,935","81,415",2,10,11,29,250,1246,2088,76
竞猜与字谜,148,"71,751,169","484,805",1,3,2,2,15,37,77,11
益智类,1275,"44,645,315","35,016",0,1,1,2,51,292,896,32
动作类,769,"44,079,879","57,321",0,2,0,4,50,300,396,17
运动类,331,"43,133,645","130,313",0,3,2,4,41,164,115,2
模拟类,209,"27,606,238","132,087",0,1,1,6,30,106,61,4
棋类,145,"21,587,785","148,881",1,0,1,1,15,53,73,1
牌类,80,"10,727,807","134,098",0,0,1,3,9,19,46,2
跑酷,309,"9,649,066","31,227",0,0,1,1,8,114,183,2
多人在线战术竞技,17,"8,248,121","485,184",0,0,1,2,3,2,9,0
角色扮演,78,"6,163,825","79,023",0,0,0,2,6,39,31,0
消消乐,135,"5,408,656","40,064",0,0,1,1,3,39,89,2
策略,91,"4,546,573","49,962",0,0,0,1,8,33,47,2
扑克与桌游,35,"1,419,360","40,553",0,0,0,0,5,10,20,0
老虎机,43,"1,219,413","28,358",0,0,0,0,3,13,27,0
建筑类,20,"831,089","41,554",0,0,0,0,1,14,5,0
卡牌对战,9,"599,203","66,578",0,0,0,0,1,2,6,0
宾果,12,"537,065","44,755",0,0,0,0,1,7,4,0
其他,5,"33,726","6,745",0,0,0,0,0,1,3,1
街机类,1,"23,000","23,000",0,0,0,0,0,1,0,0
