类型,1000w,500w,200w,100w,10w,1w,1k,0k,游戏总数,玩家总数
益智类,1,0,0,3,57,232,730,111,1134,44092042
模拟类,0,1,1,4,29,66,58,4,163,27989906
棋类,0,1,1,1,14,39,68,2,126,19718147
动作类,0,2,1,3,43,215,349,40,653,45093232
竞猜与字谜,0,3,1,2,15,29,74,10,134,31639975
运动类,0,3,1,4,42,120,127,8,305,43256334
牌类,0,0,1,0,10,19,46,1,77,9703259
跑酷,0,0,1,2,16,73,180,20,292,14859071
多人在线战术竞技,0,0,1,0,1,2,1,0,5,2441670
消消乐,0,0,1,1,3,28,72,10,115,4905270
策略,0,0,0,1,9,20,41,2,73,4529142
角色扮演,0,0,0,1,7,34,42,1,85,4828927
宾果,0,0,0,0,2,7,2,0,11,1298270
卡牌对战,0,0,0,0,1,5,2,0,8,728507
扑克与桌游,0,0,0,0,6,8,17,0,31,1470271
建筑类,0,0,0,0,1,11,3,0,15,617101
老虎机,0,0,0,0,1,7,22,3,33,461070
其他,0,0,0,0,0,2,1,2,5,30832
街机类,0,0,0,0,0,0,1,0,1,8223
