id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank,lastRank,delRank
455676461606571	,OMG,Supergene,"130,000,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/42961641_481744612333089_8200073263716499456_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=99056caa9d474af28b4e1c70268d0c8d&oe=5C766DEF,false,1,1,0
440945256433897	,LOL,vonvon,"11,820,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/44885325_444666762728413_6880190583424417792_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=3a4704b286bb301fdabaa2fbcadacab1&oe=5C65E281,false,2,14,12
1072612402873309	,Ludo Club,Moonfrog Labs,"11,710,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27690083_1146302585504290_2542560836107370496_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=5c7b5db8c87e07b132ae3ec36ad1e26d&oe=5C7B8AE4,false,3,2,-1
198982457542294	,Jumpy Jumpy - Helix Ball,TimPlay,"8,880,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41151800_321123078661564_7251996711009124352_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=25cc98830f01968104715a0e125b0a57&oe=5CB194BD,false,4,3,-1
2123873081225075	,Big Fish,bianfeng,"7,330,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37339553_2126184270993956_3072229259750670336_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=22e916d87dcf55ce8708d180a5124361&oe=5C7FC35E,false,5,4,-1
666272906903117	,The Test,Lotum one GmbH,"7,020,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27699390_769555169908223_7127618297817726976_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=880f398953b1a7aaf43cc0e186770b98&oe=5C7DB02A,false,6,5,-1
1250735238360354	,Last Knife,Room502,"6,580,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/45228041_1510940279006514_2251416513623883776_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=a29dbc36a24084288bc2a12cffab5646&oe=5C6948F7,false,7,6,-1
1829935823906294	,8 Ball Pool,Miniclip,"6,000,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/26036673_2078977032335504_4726933176528666624_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=ee8185511224ce2f1c26288651546823&oe=5C7017F7,false,8,8,0
498625833822107	,4 Pics 1 Word,LOTUM GmbH,"5,830,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/20014431_498666463818044_4033975056978673664_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=ff25b5a8034c4050159ac90530cee0e5&oe=5C69A488,false,9,9,0
141184676316522	,EverWing,Game Closure,"5,790,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/14365540_180484242386565_647877825_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=3a58c0cc9e9df13de93aa43d6492b5e1&oe=5CADA716,false,10,7,-3
