id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank,lastRank,delRank
474443516378085	,Nametests,social sweethearts GmbH,"190,000,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45453261_475868079568962_5245397649699373056_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=6aff82a0d1140d7d969f0ac6e3d2fd26&oe=5C922230,false,1,1,0
455676461606571	,OMG,Supergene,"95,070,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42961641_481744612333089_8200073263716499456_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=90c2d2d143c4fc25bdccdce3bce20b35&oe=5CD2FAA5,false,2,2,0
2210323535904466	,WOW,TrendIn,"26,740,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47614199_2223296841273802_33170496283475968_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=7ef058716c0e1ee9dc75d76ab34decb7&oe=5C8BB14E,false,3,8,5
440945256433897	,LOL,vonvon,"19,980,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44885325_444666762728413_6880190583424417792_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=980b57ad199d0bc798a7ca24e4207b34&oe=5C95AECB,false,4,3,-1
709002776145083	,BAM,Share Hive,"18,090,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/48529750_724403341271693_5373476709792219136_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=4099d3cb17a4aad30d6dbe1c25544478&oe=5C8E891F,false,5,7,2
514261135697635	,Love App,Love Apps,"16,240,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45556727_564971707293244_4668386621891018752_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=43b6d9eb360f4e28c27ae0e76d68220e&oe=5C96C17A,false,6,,new
553091498449484	,LolSided,Lolsided.com,"15,650,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47740982_568250376933596_1323018770922340352_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=0ca52eafeeef72d335fafa3a997222be&oe=5C9DADDE,false,7,6,-1
492432114586553	,LOL,The Boot,"14,740,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45351964_492940874535677_41099637272084480_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=70f617450fef4ba0e04a371e07dad372&oe=5CD61225,false,8,11,3
1072612402873309	,Ludo Club,Moonfrog Labs,"13,630,000",棋类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/49109884_1379714575496422_2293542665259581440_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=a5fb25ed00fef866fcc9bd07758a001b&oe=5C996BD0,false,9,4,-5
275769596410913	,BroChill,BroChill,"13,300,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45728808_275770139744192_8847542040309792768_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=da833571dad763fa844d22267a312c01&oe=5C91E640,false,10,16,6
2123873081225075	,Big Fish,bianfeng,"13,150,000",模拟类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/37339553_2126184270993956_3072229259750670336_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=7ab49392072e416a6b3644d233720ef1&oe=5C9CDBED,false,11,5,-6
317864822160333	,CUTE,CUTE,"8,290,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/48643911_325262111420604_2587535985579393024_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=9ed672b508207d8e7e869d03ccd85bdf&oe=5CD25C18,false,12,74,62
198982457542294	,Jumpy Jumpy - Helix Ball,TimPlay,"8,250,000",益智类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/41151800_321123078661564_7251996711009124352_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=3994d565f08630d6c9447dd8fe618c00&oe=5CD2D6F7,false,13,9,-4
666272906903117	,The Test,Lotum one GmbH,"7,340,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/27699390_769555169908223_7127618297817726976_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=664cf1bb7c51d200f036252fe4185e81&oe=5C9FF160,false,14,10,-4
843754115785933	,Quiz Planet,Lotum one GmbH,"6,970,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/29795786_883193275175350_3590080192548175872_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=fde00f3b99a6a5b6b4310a5f1c1f91c5&oe=5C8FA622,false,15,12,-3
1250735238360354	,Last Knife,Room502,"6,260,000",动作类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45228041_1510940279006514_2251416513623883776_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=5e7ef9d08528d1af811142f58a09f023&oe=5C979A44,false,16,14,-2
1829935823906294	,8 Ball Pool,Miniclip,"5,860,000",运动类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/26036673_2078977032335504_4726933176528666624_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=f587074e6096b0bf6c7003dca5e4749e&oe=5C924C44,false,17,13,-4
498625833822107	,4 Pics 1 Word,LOTUM GmbH,"5,770,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/20014431_498666463818044_4033975056978673664_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=09ce2e9392ac8d49134545321c7ac3fa&oe=5C90A7C2,false,18,15,-3
172228936829434	,Draw Something,Zynga,"5,180,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/38811013_229984681053859_3576870230355345408_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=f768292b664a63d472344009e8ed8fd2&oe=5CA16503,false,19,17,-2
383041995381848	,Words With Friends,Zynga,"5,150,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47026557_757648251254552_5654359165699620864_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=99adb11855d2628edd994b2385a5483f&oe=5C9F4669,false,20,18,-2
902424996813091	,AllQuiz,Digo,"4,980,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44537349_904806616574929_3477457006061682688_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=748d490076cbaa1bdb38b314bd1fcbbe&oe=5C91933C,false,21,24,3
1939015149698140	,UNO,Mattel163,"4,970,000",牌类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/48665552_2205592269707092_3075166085373231104_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=a9cb7b790664373106763218d58580e4&oe=5C8FA72C,false,22,19,-3
345517096031180	,Scrapee,Scrapee,"4,910,000",竞猜与字谜,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/48120723_345579279358295_4903031783466991616_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=fdb495767a0cc6df968e9a78de8c96bf&oe=5C8D2946,false,23,1926,1903
141184676316522	,EverWing,Game Closure,"4,500,000",动作类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/14365540_180484242386565_647877825_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=a58fc1480b0e58ebcc2844de96b206a0&oe=5C9BC120,false,24,20,-4
267920816949420	,Golden Boot,Nordeus,"4,370,000",运动类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/32909807_383956202012547_5360836938867671040_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=e74259ba2ea6134194f1bf5f819cca77&oe=5CA3BD1C,false,25,22,-3
800772590062226	,Basketball FRVR,FRVR,"4,300,000",运动类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/16686577_837353586404126_7156996934979289088_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=8f89fe0bf304a1880e889d90cdd2bd43&oe=5C965CC9,false,26,21,-5
1192247540901063	,Chess,"Vizor Interactive, LLP","3,950,000",棋类,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46932088_1787978724661272_4932879705935183872_n.png?_nc_cat=1&_nc_ht=scontent-sjc3-1.xx&oh=9cf9151f6f25c245b71afd64d3980e68&oe=5C954166,false,27,23,-4
