id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank,lastRank,delRank
182124219120793,Candy 2018,JairoGames,"17,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36034831_182161452450403_8984610441183363072_n.png?_nc_cat=1&oh=e8b8d4922464681c0637aa989838ec67&oe=5C618411,FALSE,878,1001,123
662166684132741,影子传说,秋葵互娱,"17,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37697325_662257834123626_6400458808228839424_n.png?_nc_cat=109&oh=4223f4fa3d60c838887dfe075e06c417&oe=5C2CF16F,FALSE,879,951,72
407117803048323,Egg Shoot,Zonmob,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/30175919_415722948854475_8187431817754705920_n.png?_nc_cat=111&oh=c3d77a879789a65c21dbc5af83ab37fa&oe=5C266C7B,FALSE,880,891,11
304818526946260,Just One Line,Appsmoto Studio,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40133662_304818900279556_2625067621719998464_n.png?_nc_cat=1&oh=bde97d829df8a7097dc37ec0d1033bfd&oe=5C22B796,FALSE,881,,new
501726380250877,Pool Billiards 3D,Enjoy Sports,"17,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38046071_501727350250780_7922652658823856128_n.png?_nc_cat=1&oh=d4be901a666841269d77d558dfc3774a&oe=5C2AEC0E,FALSE,882,899,17
922479621267847,MineSweeper,Acemobe LLC,"17,000",策略,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/26906860_976363495879459_5231088300432818176_n.png?_nc_cat=1&oh=7a2c0cb8ec7708a084fc1c5ac5599505&oe=5C1D65A5,FALSE,883,881,-2
1773202399393690,Super Cowboy Run,George,"17,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38123028_1773228709391062_541428490776346624_n.png?_nc_cat=111&oh=a8556e4537e232090f2009c65bf27c93&oe=5C61728D,FALSE,884,609,-275
308144989946031,Bubble Fruit,Tap Run,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39183773_308151469945383_107204105990045696_n.png?_nc_cat=1&oh=fbaaa756915cb3583f376490fe37f85a&oe=5C1B0CBA,FALSE,885,,new
1522415001214420,Block Puzzle,KM Mobile,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/33362551_1522416564547605_5425757023109120000_n.png?_nc_cat=108&oh=b9197b2db340981af6ee5919c1c707fb&oe=5C16BF2C,FALSE,886,1198,312
2195206257217340,Shape Tower,Appsmoto Studio,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39956038_2195208017217171_2185815616936476672_n.png?_nc_cat=105&oh=12ba603105ced1be9cb848a14b58b2be&oe=5C2A79CF,FALSE,887,971,84
