id,game_name,developer_name,player_count,app_center_categories,rank,lastRank,delRank
3.51481E+14,Pyramid Solitaire,SOFTGAMES,"40,000",棋类,519,531,12
2.48132E+14,Rolling Ball Challenge,FunGame Studio,"40,000",模拟类,520,605,85
3.21057E+14,Star Eater,Johnny,"40,000",动作类,517,545,28
2.28572E+15,Crazy Bomber,Oasis Games,"40,000",动作类,521,384,-137
1.90476E+15,Wedding Dress Up,Dress Up Games,"40,000",建筑类,523,590,67
8.15412E+14,Cut The Fruits,Ahsen Studio,"40,000",动作类,524,560,36
8.1949E+14,Shadow Fighter,Mobieos Software Pvt Ltd,"39,000",动作类,526,586,60
9.07095E+14,Zombie Buster,sadsadas,"39,000",动作类,527,499,-28
6.06246E+14,Football Strike HD,PuzzleGames,"39,000",运动类,528,566,38
1.8305E+14,Jewel Star 2018,JewelPlay,"39,000",消消乐,529,508,-21
5.33507E+14,Stick Soldier,Madness games,"39,000",动作类,530,565,35
2.41996E+14,Racing Boat Speed,SAS Studio,"39,000",运动类,531,502,-29
3.23861E+14,Smash Go,,"39,000",动作类,525,564,39
2.2435E+15,Finger Slash,Crystal Queen,"39,000",益智类,532,555,23
3.43191E+14,Stick Soldier,Baby games,"38,000",动作类,535,572,37
3.19065E+14,Baseball,XI LLC,"38,000",运动类,534,563,29
3.09333E+14,Cooking Chef Fever,Fun Games Inc.,"38,000",模拟类,533,602,69
1.73874E+15,? Crossy Temple ROFL,ROFL,"38,000",跑酷,538,537,-1
1.6732E+15,Texas Poker,Seastar Games,"38,000",扑克与桌游,537,552,15
1.7488E+14,Perfect Piano,mixfriv.com,"38,000",角色扮演,536,614,78
2.31311E+15,Speed Flying,Space4 Games,"37,000",跑酷,545,578,33
2.26955E+14,Gold Miner,ChickGame,"37,000",益智类,546,585,39
3.64533E+14,Scofield Escape,Stephen,"37,000",益智类,547,621,74
1.58302E+15,Fruit Cut Slice,Great Games,"37,000",模拟类,539,470,-69
2.31923E+14,Balls Bounce,Zonmnob,"37,000",动作类,549,515,-34
2.39035E+14,Limit avoidance,KLL,"37,000",益智类,540,456,-84
1.70785E+14,Teen Patti Gold - Indian Poker,Moonfrog,"37,000",牌类,542,540,-2
2.11153E+15,Tap Tap Shots,Cocos,"37,000",益智类,548,549,1
3.11756E+14,Subway Surf,Best Free Games,"37,000",跑酷,543,611,68
