id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank,lastRank,delRank
2236502786367600,Archery 3D,Seastar Games,"2,100,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/28776053_2240540575963826_8496998783979094016_n.png?_nc_cat=1&oh=0ce7c27edc0a74b0343600de35792259&oe=5C159EEC,FALSE,18,24,6
2141327352781150,Flying Gun,LIM,"2,010,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36826096_2151769211736971_5130978080256425984_n.png?_nc_cat=1&oh=1f441345c5b8dc196fdf257fca08107e&oe=5C56E64F,FALSE,19,16,-3
177462289503573,Connect the Dots!,Lotum one GmbH,"1,960,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/23668635_178355676080901_2616534964811857920_n.png?_nc_cat=1&oh=94014570515dc462e53a07f07c9bf66b&oe=5C1AA742,FALSE,20,22,2
1408256562572850,超级保龄球,Super Appli,"1,900,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38287918_1999340316797806_7911826613933703168_n.png?_nc_cat=1&oh=e15eed8b8df9483777551a7626a04391&oe=5C52C84E,FALSE,21,19,-2
1545834658847760,Hanger,A Small Game AB,"1,890,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/34196020_1618307941600434_6596668543696109568_n.png?_nc_cat=1&oh=8736ceae07b69cb623d0ed4c1c8e8e7f&oe=5C4CB239,FALSE,22,21,-1
2095791540676790,Car Tycoon,bianfeng,"1,740,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40437688_2132214967034448_3641486574509621248_n.png?_nc_cat=1&oh=7a6158aa1110f75c7bfb366a67e9f9a7&oe=5C5FDA17,FALSE,23,38,15
1015995975216450,EvoWars,Neexeen Entertainment,"1,540,000",多人在线战术竞技,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29623440_1027527584063298_771704141603930112_n.png?_nc_cat=1&oh=6cefb82615427263383c7b15afa59940&oe=5C165AB8,FALSE,24,28,4
2031775343755560,Tank Battle - 3V3,SeaStar Game,"1,430,000",多人在线战术竞技,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40302952_2147451575521272_5238421196881526784_n.png?_nc_cat=1&oh=8f674966a88e7db33109ce6076e4e9d9&oe=5C1E887C,FALSE,25,18,-7
209362086453121,Crazy Cooking Star Chef,TouchRun,"1,410,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36836217_224878238234839_3920936783377858560_n.png?_nc_cat=1&oh=23cd35ff45a69908e20316712ac7ef91&oe=5C61E7E4,FALSE,27,65,38
170006637139660,Bricks Breaker Quest : Mission,Mobirix,"1,410,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/28776031_171986423608348_8889680003105554432_n.png?_nc_cat=1&oh=f761b6614a49ea3902569af4f91bf055&oe=5C170408,FALSE,26,30,4
231370690738668,Fashion Icon,"GBN, Inc.","1,400,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39821777_255017401707330_4629280635423293440_n.png?_nc_cat=1&oh=ec747dfa551b525e54088f405cdb4ea4&oe=5C53F7E3,FALSE,28,45,17
1883923931629190,C? Caro,GOMOKU.CLUB,"1,340,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36590705_1891875194167400_2530028447955156992_n.png?_nc_cat=1&oh=04ce007b20c053cb9fa512ddd7b52ee5&oe=5C60CE16,FALSE,29,32,3
1402577869863530,Word Shuffle,Words Puzzle Games,"1,320,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27962775_1515390971915555_1669352976482828288_n.png?_nc_cat=1&oh=3d34fd9c860d9cbc51bfeb0673c311c3&oe=5C5B6DE0,FALSE,30,31,1
1042100639286950,Style Duels,"GBN, Inc.","1,300,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37693137_1043364565827233_4453364418566160384_n.png?_nc_cat=1&oh=f85a94319e0f00b31eb543204df1f580&oe=5C1A00BC,FALSE,31,42,11
