id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite
198982457542294,Jumpy Jumpy - Helix Ball,TimPlay,"8,370,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/41151800_321123078661564_7251996711009124352_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=65658be6a9df8e6876e460513ed8b350&oe=5CAB49F7,false
1806508339421996,LOL Headshot,Nuts Play,"910,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/29795660_1937789999627162_5447671913348333568_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=c3d56d89ec7d5643cac664a6b41cd44b&oe=5CB1E893,false
527721167689261,Juice Master,bianzheng,"1,350,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/40919184_533104493817595_6165243506924191744_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=9685a0fe64ecf74eb7699d9a08844e86&oe=5CA9DA1E,false
1801933453159894,Crossing Gaps,PotatoPlay,"950,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/40938077_2161255657227670_3971339869568892928_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=af252b1f45c8cbf92d7ad4460fa04304&oe=5CABE02C,false
580453022424636,OMG Glass,Hope Offical,"21,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47613709_590518244751447_7514239339564367872_n.png?_nc_cat=101&_nc_ht=scontent-hkg3-1.xx&oh=90f944d3d8e17a140e5f6e18e642f34e&oe=5CB18A51,false
800772590062226,Basketball FRVR,FRVR,"4,470,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/16686577_837353586404126_7156996934979289088_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=3dd07213afa7561102c128e96378ad66&oe=5C965CC9,false
435134576951080,Ninja Go,Shell Game,"1,870,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42667653_531614863969717_8339111967952207872_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=3927806c4ecc5fee471b8aef117ce06f&oe=5C677F21,false
243411243020126,Tap Tap Jump - Dashing Dog,Scorpio Studio,"13,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44108770_245284192832831_9019466424367710208_n.png?_nc_cat=104&_nc_ht=scontent-hkg3-1.xx&oh=36d81fb911e6bcff2a4b17f7df435e35&oe=5CA8730A,false
199776254136854,Ultimate Glory - War of Kings,LOVE GAME HK,"210,000",策略,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/32809574_208597809921365_1044176720833282048_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=9c6816c7889a88a11bedc70bec235d72&oe=5C66FDD8,false
276127343005598,Huge Fish,bianzheng,"1,180,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42609358_278914146060251_3581096555484020736_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=c388dcb48d4701220024cb5c3b2368ed&oe=5CAD88DA,false
