类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,3781,"399,326,571","105,614",2,10,16,30,232,1407,2068,16
竞猜与字谜,153,"168,199,905","1,099,346",1,4,3,3,16,38,86,2
益智类,1291,"46,040,593","35,663",0,1,2,4,48,330,902,4
运动类,334,"43,870,711","131,349",0,2,3,4,36,196,91,2
动作类,784,"42,548,777","54,271",0,2,0,5,44,346,385,2
模拟类,223,"25,895,743","116,124",0,1,1,4,30,128,58,1
棋类,150,"23,335,432","155,570",1,0,2,1,13,53,80,0
牌类,85,"10,986,199","129,249",0,0,1,3,7,23,50,1
跑酷,310,"9,406,368","30,343",0,0,1,1,10,121,176,1
多人在线战术竞技,17,"8,131,667","478,333",0,0,1,2,3,4,7,0
角色扮演,81,"6,833,179","84,360",0,0,1,1,6,47,26,0
消消乐,134,"5,108,139","38,120",0,0,1,1,3,29,100,0
策略,92,"4,216,831","45,835",0,0,0,1,7,37,46,1
扑克与桌游,35,"1,402,042","40,058",0,0,0,0,3,12,20,0
老虎机,44,"1,249,914","28,407",0,0,0,0,3,15,25,1
建筑类,20,"852,110","42,606",0,0,0,0,1,15,4,0
卡牌对战,9,"577,140","64,127",0,0,0,0,1,3,5,0
宾果,13,"569,351","43,796",0,0,0,0,1,8,4,0
街机类,1,"67,000","67,000",0,0,0,0,0,1,0,0
其他,5,"35,470","7,094",0,0,0,0,0,1,3,1
