类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4371,"728,010,653","166,555",11,9,16,34,266,1225,2677,133
竞猜与字谜,238,"483,925,333","2,033,300",9,6,5,5,23,63,109,18
运动类,387,"43,449,881","112,274",0,1,4,5,37,180,156,4
益智类,1435,"43,252,683","30,141",0,1,0,5,47,252,1071,59
动作类,870,"40,888,783","46,999",0,1,2,2,51,251,540,23
模拟类,277,"35,342,981","127,592",1,0,0,5,41,132,93,5
棋类,170,"27,547,812","162,046",1,0,2,1,12,51,102,1
牌类,100,"12,354,263","123,543",0,0,1,1,13,21,61,3
跑酷,349,"9,046,547","25,921",0,0,0,2,12,100,228,7
消消乐,166,"7,224,717","43,522",0,0,0,3,4,39,115,5
角色扮演,102,"6,653,118","65,227",0,0,0,3,5,40,53,1
多人在线战术竞技,18,"6,476,694","359,816",0,0,1,2,2,5,8,0
策略,110,"4,816,802","43,789",0,0,0,0,9,32,66,3
宾果,17,"2,663,057","156,650",0,0,1,0,1,9,5,1
扑克与桌游,37,"1,686,661","45,585",0,0,0,0,4,13,20,0
老虎机,53,"1,611,143","30,399",0,0,0,0,3,18,30,2
建筑类,26,"633,901","24,381",0,0,0,0,1,16,9,0
卡牌对战,11,"404,276","36,752",0,0,0,0,1,2,8,0
街机类,1,"18,000","18,000",0,0,0,0,0,1,0,0
其他,4,"14,001","3,500",0,0,0,0,0,0,3,1
