类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4092,"556,532,349","136,005",5,9,11,36,265,1089,2538,139
竞猜与字谜,187,"319,747,693","1,709,881",3,5,1,7,19,44,92,16
运动类,365,"45,388,225","124,351",0,1,4,5,42,154,155,4
益智类,1368,"44,255,193","32,350",0,1,0,5,48,233,1016,65
动作类,833,"41,127,395","49,373",0,1,2,3,55,222,527,23
模拟类,254,"30,254,081","119,111",1,0,1,3,38,119,84,8
棋类,160,"26,410,459","165,065",1,0,2,2,12,48,93,2
牌类,95,"11,803,840","124,251",0,1,0,2,10,26,56,0
跑酷,332,"8,369,421","25,209",0,0,0,2,10,94,217,9
多人在线战术竞技,18,"6,942,296","385,683",0,0,1,2,2,5,8,0
角色扮演,94,"6,543,006","69,606",0,0,0,2,7,33,50,2
消消乐,148,"5,760,153","38,920",0,0,0,2,5,32,104,5
策略,99,"3,947,918","39,878",0,0,0,1,6,25,65,2
扑克与桌游,37,"1,852,106","50,057",0,0,0,0,4,11,22,0
建筑类,28,"1,730,502","61,804",0,0,0,0,2,17,9,0
老虎机,46,"1,318,997","28,674",0,0,0,0,3,16,25,2
宾果,13,"579,157","44,551",0,0,0,0,1,8,4,0
卡牌对战,10,"448,190","44,819",0,0,0,0,1,1,8,0
街机类,1,"40,000","40,000",0,0,0,0,0,1,0,0
其他,4,"13,717","3,429",0,0,0,0,0,0,3,1
