类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4469,"797,437,555","178,438",13,10,16,35,253,1326,2692,124
竞猜与字谜,260,"549,465,386","2,113,328",11,7,5,4,22,72,122,17
运动类,391,"43,899,591","112,275",0,1,4,5,33,195,149,4
益智类,1459,"43,632,947","29,906",0,1,0,5,45,277,1078,53
动作类,880,"41,444,461","47,096",0,1,2,2,51,264,545,15
模拟类,286,"36,021,987","125,951",1,0,0,5,38,141,95,6
棋类,176,"28,189,794","160,169",1,0,2,1,13,59,97,3
牌类,102,"12,383,135","121,403",0,0,1,2,12,20,66,1
跑酷,358,"8,854,749","24,734",0,0,0,2,11,107,228,10
消消乐,171,"7,438,960","43,503",0,0,0,3,4,39,119,6
多人在线战术竞技,17,"6,523,085","383,711",0,0,1,2,2,6,6,0
策略,116,"5,563,833","47,964",0,0,0,2,7,41,61,5
角色扮演,103,"5,560,566","53,986",0,0,0,2,5,44,51,1
宾果,18,"4,000,588","222,255",0,0,1,0,1,9,6,1
扑克与桌游,38,"1,762,714","46,387",0,0,0,0,4,12,21,1
老虎机,50,"1,599,110","31,982",0,0,0,0,3,17,30,0
建筑类,26,"631,512","24,289",0,0,0,0,1,19,6,0
卡牌对战,11,"400,245","36,386",0,0,0,0,1,2,8,0
其他,6,"47,892","7,982",0,0,0,0,0,1,4,1
街机类,1,"17,000","17,000",0,0,0,0,0,1,0,0
