类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
竞猜与字谜,138,"45,675,263","330,980",1,3,1,3,16,31,76,7
益智类,1244,"42,887,148","34,475",0,1,1,2,52,242,887,59
棋类,142,"20,817,036","146,599",0,1,1,1,15,52,68,4
模拟类,198,"28,755,998","145,232",0,1,1,5,27,97,62,5
动作类,745,"43,298,195","58,118",0,2,0,4,51,245,417,26
运动类,327,"42,178,186","128,985",0,3,2,4,40,140,136,2
牌类,80,"10,287,784","128,597",0,0,1,2,10,21,45,1
多人在线战术竞技,16,"7,992,529","499,533",0,0,1,2,3,2,8,0
消消乐,135,"5,363,009","39,726",0,0,1,1,4,37,88,4
跑酷,308,"9,933,560","32,252",0,0,1,1,13,89,200,4
角色扮演,77,"5,984,711","77,724",0,0,0,2,7,33,33,2
策略,85,"4,217,262","49,615",0,0,0,1,6,25,50,3
卡牌对战,9,"599,750","66,639",0,0,0,0,1,0,7,1
老虎机,41,"1,168,793","28,507",0,0,0,0,3,8,27,3
建筑类,19,"841,202","44,274",0,0,0,0,1,12,5,1
宾果,12,"505,403","42,117",0,0,0,0,1,7,4,0
扑克与桌游,35,"1,605,170","45,862",0,0,0,0,6,8,21,0
街机类,1,"17,000","17,000",0,0,0,0,0,1,0,0
其他,5,"28,707","5,741",0,0,0,0,0,1,3,1
总计,3617,"272,156,706","75,244",1,11,10,28,256,1051,2137,123
