类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4037,"429,770,888","106,458",3,9,17,27,253,1217,2262,249
竞猜与字谜,176,"199,387,063","1,132,881",2,4,3,2,18,40,86,21
益智类,1353,"44,963,554","33,232",0,1,1,4,49,272,952,74
运动类,362,"44,034,537","121,642",0,1,5,2,41,177,118,18
动作类,825,"41,410,950","50,195",0,2,1,4,49,270,456,43
模拟类,246,"26,850,633","109,149",0,1,1,4,35,119,64,22
棋类,157,"24,189,036","154,070",1,0,2,1,15,49,82,7
牌类,95,"11,374,371","119,730",0,0,1,3,7,26,52,6
跑酷,327,"8,655,028","26,468",0,0,0,2,9,101,197,18
多人在线战术竞技,17,"7,543,424","443,731",0,0,1,2,2,4,8,0
角色扮演,93,"6,598,068","70,947",0,0,1,1,6,41,35,9
消消乐,148,"5,315,319","35,914",0,0,1,1,4,27,102,13
策略,100,"4,350,111","43,501",0,0,0,1,7,37,48,7
扑克与桌游,37,"1,573,000","42,514",0,0,0,0,3,12,21,1
老虎机,45,"1,418,767","31,528",0,0,0,0,4,17,23,1
建筑类,28,"910,072","32,503",0,0,0,0,2,13,6,7
宾果,13,"574,998","44,231",0,0,0,0,1,8,4,0
卡牌对战,10,"532,049","53,205",0,0,0,0,1,3,5,1
街机类,1,"70,000","70,000",0,0,0,0,0,1,0,0
其他,4,"19,908","4,977",0,0,0,0,0,0,3,1
