类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
竞猜与字谜,157,"186,710,677","1,189,240",2,4,3,2,17,35,91,3
益智类,1301,"44,966,689","34,563",0,1,2,3,49,288,938,20
运动类,345,"43,645,692","126,509",0,2,4,2,39,184,114,0
动作类,790,"42,199,615","53,417",0,2,1,4,47,289,441,6
模拟类,228,"25,907,286","113,628",0,1,1,4,34,122,64,2
棋类,152,"24,109,277","158,614",1,0,2,1,15,50,83,0
牌类,88,"11,317,433","128,607",0,0,1,3,7,25,51,1
跑酷,313,"8,825,387","28,196",0,0,1,1,9,107,194,1
多人在线战术竞技,17,"7,684,340","452,020",0,0,1,2,2,5,7,0
角色扮演,92,"6,728,100","73,132",0,0,1,1,6,44,33,7
消消乐,136,"5,015,978","36,882",0,0,1,1,3,26,104,1
策略,93,"4,279,567","46,017",0,0,0,1,7,37,47,1
扑克与桌游,36,"1,513,277","42,035",0,0,0,0,3,12,21,0
老虎机,44,"1,378,907","31,339",0,0,0,0,4,16,24,0
建筑类,22,"885,410","40,246",0,0,0,0,2,13,6,1
宾果,13,"571,303","43,946",0,0,0,0,1,8,4,0
卡牌对战,9,"533,840","59,316",0,0,0,0,1,3,5,0
街机类,1,"71,000","71,000",0,0,0,0,0,1,0,0
其他,5,"30,760","6,152",0,0,0,0,0,1,3,1
总计,3842,"416,374,538","108,374",3,10,18,25,246,1266,2230,44
