类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4230,"629,393,506","148,793",7,12,13,31,267,1147,2632,121
竞猜与字谜,212,"387,090,569","1,825,899",5,8,3,4,23,50,104,15
运动类,379,"44,590,031","117,652",0,1,4,5,37,163,165,4
益智类,1398,"44,135,833","31,571",0,1,0,5,46,241,1045,60
动作类,855,"40,503,200","47,372",0,1,2,2,52,237,539,22
模拟类,262,"32,358,986","123,508",1,0,1,2,41,125,89,3
棋类,165,"28,860,241","174,911",1,0,2,2,13,50,97,0
牌类,97,"12,453,504","128,387",0,1,0,2,11,23,60,0
跑酷,337,"8,852,128","26,267",0,0,0,2,11,95,221,8
消消乐,158,"6,996,885","44,284",0,0,0,2,6,35,111,4
多人在线战术竞技,18,"6,698,430","372,135",0,0,1,2,2,5,8,0
角色扮演,97,"6,506,260","67,075",0,0,0,2,7,34,53,1
策略,104,"3,994,001","38,404",0,0,0,0,8,27,67,2
建筑类,28,"2,059,228","73,544",0,0,0,1,1,18,8,0
扑克与桌游,38,"1,856,664","48,860",0,0,0,0,4,13,21,0
老虎机,50,"1,441,955","28,839",0,0,0,0,3,18,29,0
宾果,16,"551,966","34,498",0,0,0,0,1,10,4,1
卡牌对战,11,"410,866","37,351",0,0,0,0,1,2,8,0
街机类,1,"19,000","19,000",0,0,0,0,0,1,0,0
其他,4,"13,759","3,440",0,0,0,0,0,0,3,1
