类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,4114,"555,070,516","134,922",5,10,12,31,271,1095,2586,104
竞猜与字谜,192,"315,811,943","1,644,854",3,6,2,3,24,49,95,10
运动类,364,"45,366,333","124,633",0,1,4,5,40,155,158,1
益智类,1370,"43,937,992","32,072",0,1,0,5,47,230,1032,55
动作类,836,"40,733,087","48,724",0,1,2,2,53,226,535,17
模拟类,257,"30,745,194","119,631",1,0,1,2,41,122,88,2
棋类,162,"27,893,150","172,180",1,0,2,2,12,47,97,1
牌类,95,"12,151,501","127,911",0,1,0,2,11,23,58,0
跑酷,336,"8,644,782","25,729",0,0,0,2,12,92,223,7
多人在线战术竞技,18,"6,829,301","379,406",0,0,1,2,2,5,8,0
角色扮演,94,"6,433,874","68,445",0,0,0,2,7,33,51,1
消消乐,150,"6,394,290","42,629",0,0,0,2,6,31,105,6
策略,99,"3,946,853","39,867",0,0,0,1,6,26,64,2
扑克与桌游,37,"1,891,431","51,120",0,0,0,0,4,12,21,0
建筑类,28,"1,873,116","66,897",0,0,0,1,1,17,9,0
老虎机,47,"1,407,641","29,950",0,0,0,0,3,17,27,0
宾果,13,"541,208","41,631",0,0,0,0,1,8,4,0
卡牌对战,11,"427,310","38,846",0,0,0,0,1,1,8,1
街机类,1,"28,000","28,000",0,0,0,0,0,1,0,0
其他,4,"13,510","3,378",0,0,0,0,0,0,3,1
